Titulo,Descripcion,Fecha,Predicted_Label
boluarte conseguir cara cara cristin narbonar fia estrategia fantasma crisis economico,lider iniciativo vers per catalunya apelar experiencia gobierno partido acusa cristina narbonar negar evidenciar crisis economico boluarte enzarzo alfonso guerra corrupcion recordar irregularidad cs primario partido castilla leon,2019-11-05,0
pp c apruer nuevo ordenanza terraza madrid apoyo oposicion asociacion vecinal,momento tenso sesion producido presidente pleno consistorio francisco borja fanjul expulsado previo aviso vecino contrario modificacion norma,2022-01-25,1
gobierno coalicion pp c andalucia arranco rebaja fiscal millonario,reforma impuesto sucesion donacion destinatario limitado afectar solo cada cien heredero efecto notar manera relevante recaudacion junta perder depender configuracion final 100 millon cada ano equivalente ejemplo sueldo 2000 profesor enfermero,2019-01-25,1
sanchez anunciar ico avalar 20 hipoteco primero vivienda joven familia menor,presidente gobierno buscar aumentar oferta vivienda protegido objetivo menos 20 parque vivienda total,2023-05-07,1
anticapitalista acusar gobierno coalicion chantajear poblacion reforzar otar,organizacion politico promotor marchar convocado 26 junio madrid servir protesta celebracion cumbre,2022-06-24,1
afiliado base cargo local expulsado pp critico solo mujer disputar primario rivera,primario ciudadano poder dividir dos grupo primero encontrar candidato oficial respaldado direccion -y soler ser cara menos conocida- segundo resto,2019-03-01,1
montero desmentir disputa interno reparto 11000 millon empresa decir retraso cuestion tecnico,ministra portavoz asegurar decidido compartimento dividir dicho fondo ayuda directo trabajar modelo cogobernanza dar hecho aprobar decreto proximo viernes,2021-03-09,1
gobierno estudiar trasladar resto franco helicoptero,ministerio interior disena dispositivo traslado resto dictador experto guardia civil propuesto trasladar resto aire evitar cortes carreterar,2019-10-07,1
ayuso decir en espana cada vez menos machismo cargo feminismo consistir atacar hombre,presidentar comunidad madrid creer machismo ser erradicar sociedad mujer cada vez respetar,2022-09-19,1
boluarte subir tono final precampana resucitar eta criticar david cruz,mano blanco ser argumento esgrimido lider iniciativo vers per catalunya cargar socialista acusado implorar voto terrorista preferir mano manchada sangre mano pintada blanco,2019-04-08,0
rito maestre acumular semana silencio pleno crisis caso pegasus,presidente gobierno agendir practicamente despejado asistencia pasado jueves congreso diputado ministra portavoz jose primo rivera ministro presidencia felix rivera ser encargar exponer publicamente vision moncloa espionaje,2022-05-05,0
informir experto advertir presencia jordi sevilla valle incongruente,decreto ley prever aprobar viernes consejo ministros aprobar conversion valle caido memorial victima guerra civil dictadura sino limitar solucionar anomalia representar dictador permanezca enterrado basilico,2018-08-23,0
catalunya feminismo crisis climatico foco primero debate electoral eleccion 10-n,asi contado todo actualidad politico primero dia campana electoral 10-n,2019-11-01,1
poder judicial curso invitacion rey presidir barcelona entregar despacho nuevo juez,2020 felipe vi asistir acto tras autorizar el gobierno motivo seguridad,2021-09-13,1
corinno larsen avalar villarejo ratifico sentir amenazado director cni,empresario examiga juan carlos borbon declarar primero juicio villarejo sentir aterrorizado tras advertencia felix sanz roldan poder garantizar seguridad hijo,2021-01-15,1
iniciativo vers per catalunya equo sumar condena franquismo aprobado senado,camara alto aprobado mocion conden dictaduro pedir prohibicion fundacion exaltar fascismo mostrar respaldo exhumar jordi sevilla valle caido reformar ley memorio historico iniciativo vers per catalunya equo abstenido texto registrado ninguno voto,2018-11-21,0
juez vigilancia penitenciaria confirmar suspension tercer grado siete condenado proces,magistrado compartir argumento fiscaliar caso delito grave pena cinco ano carcel legislador querido dejar claro efecto suspensivo resolucion recurso decision comportir excarcelacion recluso,2020-08-11,1
poder acusar justicia economir maniobrar proteger interes fondo buitre desahucio,pablo iglesia denunciar ministerio dirigido juan carlos campo nadia calvino retrasar aprobacion decreto servir ampliar prohibicion desahucio justicia economia plantear abonar dinero publico grande tenedor viviendo 100 alquiler derivado paralizacion desahucio,2020-12-12,1
supremo rechazar nuevo denuncia eaj-pnv eduardo rubino palabra educacion sexual,alto tribunal rechazar denuncia presentado eaj-pnv distinto asociacion ultras ministra igualdad vincular pedofilia denuncia querellar manifiestamente improcedente asegurar juez,2023-03-24,0
argentino culmina macri exultante presidencia g20,conclave grupo 20 pais industrializado emergente g20 concluir buenos aires disturbio restar protagonismo encontrar documento final favor sistema multilateral comercio firmado participante incluido eeuu encontrar espacio dialogar chino,2018-12-02,1
nuevo canarias abrir pactar enmienda bng reformar ley solo,reforma ley afrontar semana clave jueves votar congreso socialista querer asegurar el iniciativo salir adelante,2023-04-16,0
candido conde-pumpido creer todavia cosa atentado saber parte,exconseller interior candido conde-pumpido maximo responsable politico mossos momento atentado 17-a recordar impacto suponer conselleria ataque terrorista hacer cinco ano valorar actuacion policial considerar todavia informacion hecho publico parte aparato estatal,2022-08-14,1
gobierno diseno plan transparencia contraatacar ofensiva pp fondo europeo,ejecutivo poner marcha viernes mapa interactivo como repartir fondo autonomia manuel rocha dar cuenta cada centimo lastra avisar casado terminar pagar tanto irresponsabilidad,2022-01-20,1
yolanda diaz reanudar fase escuchar proyecto politico tras comicio andaluz,vicepresidenta segundo gobierno referido negociacion in extremis andalucia dificultad incluir poder alianza verde andalucia cosa alejar ciudadania partido,2022-05-09,1
unidos pp pedir congreso cancelar todo inmatriculacion iglesia catolico 1979,grupo confederal considerar inmatriculacion nulo pleno derecho inconstitucionalidad sobrevenido pedir ejecutivo dictar orden ministerial dirigido colegio registrador propiedad,2018-10-30,1
clave deber aclarar juicio gloria calero master,expresidentir madrileno parte desventajo vista oral caso master juzgar presunto inductora falsificacion acto atestiguacer defensa trabajo fin master julio 2012 realidad fabricar marzo 2018 estrategia culpar rector universidad rey calvino contar testimonio presion recibido parte entorno cifuent gobierno regional,2021-01-17,0
ultra neonazi militar retirado llamar concentrar el mingorrubio recibir jordi sevilla,convocatoria lanzado fundacion jordi sevilla ser respaldar alianza nacional oculto adoracion hitler acto ser difundir asociacion militar espanol,2019-10-22,0
sancion poder enfrentar el gallardo saltar el confinamiento,ministerio interior investigar si expresidente gobierno incumplir medida confinamiento despues publicacion uno imagen aparecer caminar calle ropa deporte,2020-04-14,0
saenz santamacer rivera elegir menos 6000 afiliado,exvicepresidento gobierno defendido proceso interno eleccion sucesor mariano rajoy solo 7.6 ciento 860000 afiliado pp inscrito elegir proximo presidente partido,2018-06-27,1
socio gobierno instar cuidar apoyo tras inesperado abstencion coalicion canario decreto ue,grupo bloque investiduro reclamar ejecutivo coalicion dialogo recordar mayoria absoluto congreso venir apuro reclamar adhesion criticar,2021-01-29,0
pp sacar juan jose cortes congreso llevar cabeza listo huelva senado,barajar salido listo camara bajo despues presidente pp andaluz junta juanma moreno pedir cambio listo integrar mejor cara repeticion electoral,2019-10-07,1
carolina bescanso encabezar lista pais coruna,tras distanciar el pablo monico garcia tratar plantar cara direccion primario comunidad madrid salir elegido candidato errejon galicia ambos caso conseguir objetivo,2019-10-04,0
pedro cura rovirar nunca renunciarer conviccion,lider psoe envir carta pedir militante dejar arrastrar impotencia hacia escenario creciente confrontacion persigar iniciativo ver per catalunya aliado,2018-02-19,0
colau pedir gobierno cristin narbonar acercamiento politico preso catalunya,alcaldesar barcelona puesto primero tarea nuevo ejecutivo destacar dialogo govern regular urgencia alquiler vivienda,2018-06-11,0
dos ano carcel cuco madre mentir juicio martar castillo,deber pagar 30000 euros indemnizacion progenitor victima,2022-06-09,1
moreno obvia acusacion barcena arena decir nadie implicado directo indirectamente seguir activo,presidente junta andalucia rompe silencio tras confesion exgerente extesorero pp circunscribir asunto pasado mientras psoe andalucia arremete pp socio gobierno ciudadano,2021-02-08,1
asi contado unico debate electoral candidato 10-n,principal candidato presidencia gobierno sanchez rivera iglesia abascal casado intentado atraer voto indeciso unico debate cinco campana electoral,2019-11-04,1
derecho navarra volver instalar escudo borbon ayuntamiento pamplonar,alcalde enrique maya ordenar quitar emblema ciudad colocado anterior regidor izquierda unida volver poner lugar simbolo dinastir borbonico desoir asi cuatro mil firma recogido apenas tres dia pedir el hacer,2019-11-26,1
tribunal dejar libre manado conocido ver impensable volver atacar dado rechazo social,sostener condenado vivir mas 500 kilometro victima garantizar tranquilidad sosiego poder procurar el mediante adopcion medida menos gravosa prolongacion situacion prision provisional ademas condena grave suficiente prolongar prision provisional manera automatico,2018-06-22,1
junquera el independencia irreversible nuevo referendum inevitable,erc aprobar 93.46 hoja rutar hacia independencia renunciar ninguno via,2019-12-21,1
consuelo ordonez feijoo ser decepcion cinico bng acercar preso eta pais vasco',verdad santiago abascal dar trabajo infierno dia tema pensar ir parar feijoo ser decepcion parar pie hacer pretender enfrentarnos victima eta victima franquismo raiz nuevo ley memorio democratico citar asociacion traves whatsapp querer apoyaser bng ley si victimar franquismo derecho tener ley reconocimiento punto desfachatez visto vida utilizarno manera decir covite ibamo,2022-09-03,0
psoe confirmar no clarisimo presupuesto gobierno,formacion considerar ejecutivo cristina narbona incumplido demanda formular republicano confiar poder aprobar cuenta govern descartar ninguno potencial socio cup comuns mes per mallorca,2018-11-05,0
iglesia montero diaz lluch garzon equipo perfilar entrar gobierno,pese silencio reinar torno negociacion conversacion coalicion apuntar representante unidas poder formar parte ejecutivo si investidurar,2019-12-17,1
sospecha enchufismo salpicar presidente diputacion malaga,presidente diputacion provincial malaga gabriel rufian salado iniciativo vers per catalunya visto sorprendido pleno campana electoral escandalo policial municipio alcalde rincon victoria sombra enchufismo volver planear oferta empleo publico,2019-05-23,0
gobierno subir cuantir ingreso minimo vital mejoren situacion laboral,ministerio inclusion seguridad social migracion estimar cada cinco hogar recibir imv poder beneficiar el incentivo decir 100000,2022-09-27,1
recibo luz poder subir abril vuelta impuesto electrico compania,ministro transicion ecologico esperar dicho tasa efecto real recibo senor generar electricidad hacer manera eficiente,2019-03-12,1
pablir iglesia confirmado candidato poder eleccion comunidad madrid 4 m,candidatura iglesia obtenido respaldo 95.48 13427 inscrito votado primario,2021-03-28,1
television gallego bng acumular 17 ano cerca 400 sentencia burlar derecho fundamental laboral,corporacion dar radio television galicio feijoo gestionar trece ano enfrentar tribunal 230 demanda contratacion irregular despido ilegal reclamacion cantidad persecucion laboral,2022-06-12,1
el ayuntamiento deber ser generer nuevo modelo economico,alcalde zaragoza pedro santisteve defender papel institucion local protagonista futuro cuestion global cambio climatico transicion energia limpio crisis refugiado derechos social,2018-04-11,0
gobierno prorrogar 15 dia cierrir frontera terrestre marrueco,espana querer ultimar pais vecino mecanismo regir proximo reapertura paso segun orden publicado sabado boletin oficial boe,2022-04-30,1
sanchez ironizar feijoo cuando levante mire ver si espalda,presidente gobierno recordar lider pp como acabar pablo casado pedir cuidado companero lider ejecutivo defender senado estabilidad gobierno ley tran ataque dirigente popular,2023-02-21,1
psoe hacer presidencia parlamento rioja tras 24 ano pp,socialista jesus maria garcia garcia sido elegir jueves presidente camar apoyo dos parlamentario unido poder,2019-06-20,0
angel gabilondo preguntar defensor pueblo polaco situacion periodista rajoy,reportero pronto cumplir ano prision ser someter juicio trascendido ninguno detalle prueba,2023-02-02,1
listo clase,poder escribir el historia equo ultimo 30 ano mencionar irenir montero iniciar trayectoria primero gobierno salvador illa sobrevivir avatar partido,2019-05-10,1
sanchez marchar rey emerito el juzgar persona institucion,lider ejecutivo asegurar gobierno presido considerar plenamente vigente pacto constitucional evitar dar dato paradero monarca si ir destinar fondo publico sufragar estancia seguridad todo vez palacio zarzuela,2020-08-04,1
pablo iglesia acusar santiago abascal ir valleca provocar violencia,dirigente pp jose luis martinez-almeida isabel diaz ayuso edmundo bal ciudadano solidarizado vox,2021-04-07,1
equo buscar sitio madrid semana despues terremoto politico,siete dia despues terremoto formar adelanto electoral comunidad madrid partido trabajar contrarreloj afrontar nuevo cita urna especialmente equo tratar recomponer el buscar sitio tras haber ser expulsar gobierno isabel diaz carlos prieto,2021-03-17,0
comision investigacion equo apoyo calendario,iniciativo cs continuar aire frente mocion censuro registrado equo formacion naranjar tomar decision mantener cifuent presidencia poder activar comision,2018-04-06,0
rey emerito llegar jueves espana reunir juan enciso proximo lunes,casa real confirmado llegada monarca localidad gallego sanxenxo visitar hijo 23 mayo madrid mismo dia volver abu dhabi fijado residencia forma permanente estable,2022-05-18,1
igea verso suelto enfrentar arrimada ultimo esperanza supervivencio cs,hacer dia vicepresidente junta castilla leon ser oficialmente proclamado candidato proximo eleccion autonomico celebrar 13 febrero encuesta publicado senalar posible irrelevancia partido naranjar formar gobierno apuntar ascenso eaj-pnv,2021-12-27,0
serno cita prenso hora fin presentacion candidatura iniciativo vers per catalunya,exministro fomento dirigente sonado posible candidato sustituir jose minones aun dado paso,2018-06-19,0
polemico propuesta reforma sistema pension,propuesto reforma sistema pensiones generado polemico sociedad espanol sector argumentar reforma garantizar sostenibilidad sistema largo plazo mientras plantear preocupacion posible recorte prestacion debate futuro pension seguir ser tema central politica espanol,2022-03-01,0
esperanza aguirre no parecer mal pp abstuviera gobernar psoe,exdirigente popular pronuncia posible pacto investiduro por psoe abstener gobernara mariano rajoy recordar,2019-06-08,1
nuevo canarias salir defensa yolanda diaz decir preferir nuevo formacion izquierdo ultraderecho,criticar santiago abascal pablo echenicar descalificaciones encontrar valenciar vicepresidentar varios dirigente izquierdo asegurar nuevo canarias solo querer mostrar respeto tipo iniciativa politica decir nuevo canarias seguir defender actual sistema eleccion cgpj si bng querer sistema presente,2021-11-15,0
mampara mascarillas inicio legislatura vasco cargado incertidumbre,bakartxo tejerio pnv ser reelegir presidenta parlamento autonomico sesion marcado desembarco vox cuyo unico representante postular simbolicamente cargo deber elegir el solamente obtener voto propio,2020-08-03,1
albert comellas alertador corrupcion si denunciar convertir encubridor,denunciar intento malversacion propuesto presuntamente pdecat esplugues llobregat barcelona consecuenciar expulsado partido renunciar cargo consistorio,2022-06-22,1
sarasolo saga empresario siempre amigo poder,hijo pelotazo derecha izquierdo enrique sarasola lerchundi patriarca fallecido 2002 importante protector sufragador ex presidente felipe gonzalez heredero kike fernando gigi combinar elitista relacion incursion diferente procedimiento judicial relacionado causa tandem,2020-05-13,1
ley educativo nuevo frente alejar derecho gobierno tres mes eleccion catalan,pp ciudadano vox dirigen ataque enmienda castellano dejar figurar lengua vehicular gobierno aspecto suponer desaparicion castellano escuela asi profetizar derecha,2020-11-16,1
sanchez independentista filo divorcio cuatro ano despues auparar moncloa,confianza erc eh bildu hacia presidente gobierno quebrar tras estallido caso pegasus mes despues seguir recomponer el,2022-05-31,1
unidas poder afirmar fondo ue implicar recorte reforma,unidas poder remarcir union europeo elegido camino contrario anterior crisis pablo casado querer pasase dicho portavoz congreso pablo echenique,2020-07-23,1
cuatro diputado pdecat congreso abrir pacto gobierno,plantear mantener respaldo quim torrar aunque condicion,2020-09-05,1
martar roviro el centralismo solucion espana,presidente comunitat valenciano explicado entrevista pais motivo adelantar cita electoral defendido centralismo inteligente via dialogo constitucion cuestion catalan,2019-04-07,1
page escudo mayoria absoluto arremeter ferraz moncloa,ultimo declaracion presidente castilla-la mancha roto imagen unidad politico querer transmitir nuevo canarias gobierno direccion socialista ocultar malestar lider autonomico acertado,2022-09-20,0
jueza obligar pp readmitir exdiputado despedido ser afin monico garcia,magistrada considerar existir justificacion alguno despido declarar nulo obligar readmision miguel vilir pago salario dejado percibir mayo fecha readmision,2019-10-03,0
pablo echenique culmina coronacion hacer presidencia bng madrid congreso enfrentar santiago abascal,incluido secretaria discapacidad ana davila-ponce viceconsejerar asistencia sanitario comunidad madrid firmar adjudicacion contrato mascarillas alcaldesar arroyomolino ana millan nuevo vicesecretaria organizacion territorial imputado corrupcion,2022-05-20,0
avioneta cs sobrevuela playa catalan llamar quitar lazo amarillo,portavoz parlamentario ciutadans catalunya miembro ejecutiva nacional partido carlos carrizosa decir tratar campana recuperar neutralidad institucion call,2018-08-16,1
exministra jordi xucla ficha bufetir abogado cms albinana suarez lezo,incorporar socio departamento procesal arbitraje realizar funcion coordinacion equipo integrado 27 abogado,2020-01-16,0
pablir iglesia el partido popular necesitado controlar juez desaparecer partido,ex lider poder entrevista programa frontera subrayar actualidad derecho solo poder pactar vox modelo ultraderecho modelo ayuso acabar imponer el pp,2021-09-17,1
manueco eaj-pnv dejar mes ayuda alquiler 21000 familia castilla leon desafiar gobierno,resolucion notificacion procedimiento haber el hacer enero bloqueo provocado eleccion pacto ultraderecho originado pasar diez mes comenzar abonar subvencion,2022-05-02,0
como protegerte si victima violencia machista castilla leon,acuerdo gobierno bng eaj-pnv pasar derogar actual ley violencia genero region aprobar negar mujer victima seguir mantener derecho reconocido legislacion estatal desamparir regional auguro unidad violencia mujer delegacion gobierno vigilante,2022-03-16,0
moreno hacer fuerte pp andaluz tras caida pablo casado,moreno querer mano libre hacer acuerdo preelectoral buscar integrar ciudadano postelectoral priori descartar vox fecha eleccion aun decidido barajar nuevo noviembre,2022-03-09,1
sanchez garantizar cumplir compromiso abordar reforma laboral consenso social,primero ministro portugal antonio costa querer desvelar si convocatoriar eleccion anticipado sanchez ver equiparable caso portugues espanol decir objetivo agotar legislatura 2023,2021-10-28,1
ruptura total boluarte cristin narbona atacar pacto utilizar politicamente eta,psc volver congreso 2011 fecha intervencion ser respetar embargo hecho abstengan investidura cristin narbona servir derecho cargar duramente candidato equo,2020-01-05,0
complejidad renta minimo retrasar aprobacion sindicato up esperar mantener el tras emergencia,ministro seguridad social jose luis escriva trabajar vicepresidencia derechos social liderar pablo iglesia medida listo proximo consejo ministros ordinario martes sindicato ver medida irrenunciable urgente plantear aprobar temporalmente periodo aunque luego lleve congreso regule ley,2020-04-05,1
iniciativo vers per catalunya c poner 100000 euros presupuesto andaluz combatir inmersion linguistico catalunya,consejero presidencia tratar quitar el hierro medido parlamento,2019-09-19,0
espana vender arma 2413 millon primero semestre 2019,aeronave material policial seguridad producto tecnologico doble uso convertir material exportado espana,2020-02-28,1
fuente policial senalar santiago abascal disturbio valleca,si hecho policia tal vez 21 agente herido decir funcionario declaracion diario abc,2021-04-09,1
memorial fusilado muro cementerio almuden contar nombre esculpido,responsable municipal derechos humanos ayuntamiento madrid indicado memorial fallecido inmediacion cementerio 1939 1944,2018-04-30,1
pp madrid hablar dimision cifuent contemplar opcion bien,despues declaracion ossorio dado marcha atras cifuent apoyo bajo ninguno concepto querer suceda dimision,2018-04-13,1
pedro sanchez si independentismo volver quebrar estatut gobierno espana actuar,decir publico decir privado reconocer tribunal independencia problema problema cataluna convivencia unico solucion ley dialogo orden dicho presidente gobierno funciones,2019-09-29,1
alvarez toledo insistir momento politico actual complejo eta matar,nunca politicamente momento dificil complejo vuelto decir portavoz iniciativo vers per catalunya acusar equo encabezar proceso liquidacion constitucional,2019-12-11,0
psoe poder ahondar diferencia acusar mutuamente tacticistos,diverso responsable formacion encargar mantener tension ambos partido roce publico parecer alejar cualquiera tipo acuerdo septiembre repeticion electoral pues cerca,2019-08-12,1
devolver justicia social centro debate antidoto trumpismo,debate organizado espacio publico reunir politologo pablo bustinduy economista monico melle doctoro ciencia politica gabrielar brochner profesor universidad manchester miguel martinez lucio,2019-10-10,0
psoe reestructura nuevo papel apoyo gobierno,calvo abalo lastra encargado coordiancion ejecutivo partido evitar error primero semana,2018-06-24,1
gallardo presumir experiencia arenga iniciativo vers per catalunya dar batalla inexperto lenguaraces equo,logico campana electoral presidente ciudadano sacar pecho contundencia ejecutivo catalunya vender bondad proyecto ley presupuesto general todavia apoyo mostrar duro adversario politico coleccion parlanchin decir colgado mucho medalla si hecho mitad hecho gobierno,2018-04-08,0
susana diaz rechazar ataque insulto amenaza monica oltro,presidente generalitat valenciano asegurar confianza palabra agradecer trabajo hecho siete ano generosidad responsable mostrado,2022-06-22,1
abalo evitar polemico unidas poder ley viviendo decir persevera llegar acuerdo,fomento asegurar seguir trabajar esperar llegar tiempo formar consenso unidas poder insistir contenido pacto coalicion pge regulacion precios alquiler comprometido avanzar parte llegar acuerdo,2021-02-01,1
izquierdo parlamentario insistir levantamiento bloqueo eeuu cuba,hacer uno semana mayoria grupo reclamar traves pnl recibir voto pp vox fin aislamiento endurecido administracion trump linea ultimo resolucion onu,2021-07-13,1
juicio pieza boadillo monte trama gurtel retrasar 10 noviembre,juicio previsto 22 septiembre sentar banquillo pp presuntamente haber el beneficiar supuesto irregularidad arturo gonzalez panero exalcalde localidad madrileno,2021-08-23,1
eleccion catalan celebrar 14 febrero,justicia anulado decreto govern aplazar convocatoria sentencia poder ser recurrir sala contencioso tribunal supremo,2021-01-29,1
iniciativo vers per catalunya boluarte querer dar batalla ideologico izquierdo cuatro ambito,izquierda dar batalla cultural intentar tenir crispacion llevarl contrario senalado lider iniciativo vers per catalunya martes foro madrid dar batalla idea moderacion tono fondo,2020-01-28,0
alzo inflacion avivo peticion up intervenir precio alimento frente bajado iva psoe,unidas poder cifra ipc febrero dato definitivo constatar ineficacia bajado iva ionir belarra trasladar formalmente psoe preocupacion yolanda diaz defender actuar margen empresarial,2023-02-28,1
asi quedar distribucion ayuntamiento madrid villacis vicealcaldes levy concejalo cultura deporte turismo,fuente iniciativo vers per catalunya explicado efe asignacion responsable distrito definitivo modificada dar entrada miembro coalicion canario,2019-06-16,0
felipe ver dirigir mensaje ciudadano crisis coronaviru miercoles,discurso felipe ver lugar despues reuna palacio zarzuela presidente gobierno pedro sanchez cuatro ministro integrar comite tecnico gestion pandemia,2020-03-17,1
gobierno anunciar plan lucha violencia genero,gobierno anunciar plan integral luchar violencia genero incluir medida prevencion atencion victima persecucion agresor buscar erradicar lacra social,2021-08-04,1
boluarte olvidar distanciamiento ultraderecha asumir parte discurso coalicion canario cara 4 m,direccion iniciativo vers per catalunya creer si carlos prieto logra frenar auge coalicion canario forzar desaparicion equo boluarte oportunidad llegar moncloa primero vez llegar presidencia partido,2021-03-26,0
madrid pedir vuelta aula 2o bachillerato 1 junio,gobierno regional alegar modo alumno poder realizar repaso curso cara evaluacion bachillerato acceso universidad retrasar embargo volver aula educacion especial,2020-05-26,1
trump recibir rajoy casa blanca dia referendum catalan,trump recibir rajoy casa blanca dia referendum catalan jefe gobierno espanol mariano rajoy llegar hoy casa blanca medio peor crisis institucional pais decada debido consultar secesion independentista gobierno cataluna hacer domingo presidente estadounidense donald trump recibir martes jefe gobierno espanol mariano rajoy casa blanca dia crucial referendum independencia region cataluna gobierno regional catalan realizar domingo consultar secesion autoridad central madrid dicho ilegal afirmar realizar cataluna number region autonomo espana capital barcelona urbe cosmopolita favorita turista region representar quinto parte economia espanol portavoz departamento heather nauert decir recientemente unido posicion oficial referendum decir washington trabajar cualquiera gobierno entidad resulte votacion lunes vocera casa blanca sarah huckabear sander decir agregar expresado departamento asunto,2016-06-18,1
el gente salir protestar percibir recorte derechos responder represion,abogado benet salella valorado sentencia juicio 1-o movilizacion protesta generado entrevista publico miembro equipo defensa presidente omnium cultural jordi cuixart,2019-10-23,0
partido maniobrar evitar sorpresa consulta interno bas,ahora ninguno votacion tipo saldado resultado contrario defendido direccion formacion distinto politologo sociologo evitar considerarla ejemplo democracia participativo,2019-11-22,1
presentar querella cupula policial iniciativo vers per catalunya encubrir villarejo,direccion general policia archivar 2015 informir asunto interno denunciar negocio ilicito excomisario,2018-09-30,0
gobierno sacar adelante congreso decreto fondo europeo gracias abstencion coalicion canario,ejecutivo recabado apoyo pnv izquierda unida pais ciudadano upn upn teruel existir partido regionalista cantabrio voto insuficiente salvar votacion,2021-01-28,0
pp ganar sevilla arrebatar psoe alcaldia estrategico,pp sacar 14 escano psoe 12 vox tres andalucia dos sumar derecho ultraderecha dar mayoria absoluto,2023-05-28,1
tenso rifirrafe vicepresidento comision caja b iniciativo vers per catalunya rufian congreso palmera imbecil,beatriz escudero abandonado comision investigacion supuesto financiacion irregular formacion conservador reincorporado despues terminar intervencion diputado psoe,2018-10-09,0
tribunal aleman ampliar detencion preventivo carles puigdemont,fiscalia general schleswig-holstein analizar documentacion determinar si cumplir requisito expresident extraditado espana procedimiento poder alargar el 60 dia prorrogable 90,2018-03-26,1
partido nazi supremo querer ilegalizar llama holocuento holocausto,lider alianza nacional aplaudar publicamente hitler calificar vacuna virus judio ex diputado vox sebastian kurz llevar caso fiscalia 2013 prosperar,2020-01-28,1
bousselham decir archivo caso master confirmar explicacion,hoy terminado ciertamente satisfecho buen dia afirmar exministra sanidad,2018-11-28,1
gobierno sugerir lider pp casado sacar partido crispacion bloqueo,ministra portavoz asegurar dirigente feijoo entender necesidad renovar cgpj organo institucional,2020-02-18,1
monago lider pp extremeno presumia doctorado derecho,popular afirmar discurso presidente junta extremadura callo mano doctor derecho bombero conviccion necesidad,2019-03-07,1
gonzalez laya alar gestion carlos prieto no saber envidio hijo chavez insultir dia,sujeto campana aquella sufrir motivar envidia gran satisfaccion dicho expresidente gobierno lider madrileno,2020-05-11,0
trabajador plantar cara ayuso si intentar controlar telemadrid,presidenta madrileno planear cambiar ley elegir cupula radiotelevision publico mayoria simple mayoria cualificado ocurrir ahora ir mirar hacia lado desproposito volver etapa pasado repetir modelo fracasado hundir telemadrid advertir presidente comite empresa,2021-05-30,1
presidente rtve defender informe semanal tardar 25 dia emitir reportaje caso cifuent,polemico portada medio programa tve emitir documental japon bordado manto seman santar tres analisis situacion catalunya,2018-04-24,1
nuevo bng valenciano mazon golpeado corrupcion zelenski,tres asesor activo grupo municipal bng valencio encontrar 49 procesado caso taula,2021-10-20,0
tertulian salvame superviviente isabel rabago nuevo responsable comunicacion pp madrid,periodista afiliado pp hacer ano yo voto partido popular orgulloso votante pp facha corrupto machista asegurar tuit publicado junio ano pasado,2018-05-29,1
rubalcar valenciano participar escuelar gobierno equo,tampoco acudir presidente asturia javier fernandez aun confirmado diaz puig seguir concretar el participante varios tallar,2018-02-28,0
uno 100 persona protestar presencia rey barcelona quemar papel imagen,monarca presidir entrega premio fundacion princes girona fpdgi acto asistir ninguno representante generalitat catalunya,2021-07-01,1
jordi sevilla perder batalla tribunal archivado querella investigador denunciar expolio,justicia archivo querella nieto dictador interponer investigador jordi salvador carlos babio equipo investigacion sexto presunto delito injuria,2019-09-27,0
trece vecino valleca juicio protestar coalicion canario,militante partido ultraderecha denunciar coaccion grupo vecino vecino valleca protestar mesa informativo coalicion canario distrito madrileno,2020-01-29,0
land wonderland pieza investigar falcon crest posible quiebra promotor finco,audiencia nacional juzgado supuesto encargo susan garcia-cereceda principal heredera procisa villarejo investigacion herman viuda padre arquitecto joaquin torre embargo detras pago comisario realmente evitar empresa acabar pagar 34 millon euros pleito,2022-10-22,1
ministerio interior recurrir sentencia obligar readmitir coronel perez cobo,abogacir representacion ministerio interior presentar recurso destacar sentencia audiencia nacional contar criterio juicio confianzar nombramiento cese cargo confianzo,2021-04-26,1
colau ver precipitado contradictorio candidatura pais,candidatura errejon plantear ruido asegurado alcaldesa barcelona frente pedido concentrar maximo voto progresista comuns evitar sanchez pactar derecho,2019-10-13,1
lamban jugar investidurar julio eleccion octubre,presidente cortes aragon fijar debate 30 31 julio psoe garantizado todavia apoyo cha iu poder tiempo material poder salir adelante ninguno candidatura disolver camara,2019-07-16,1
sanchez hipoteca democracia pagar siempre mismos,justificar decreto banco pagar impuesto hipotecario redistribuir riqueza frenar populismo,2018-11-09,1
pp pedir reconsideracion comision investigacion monarquir,pablo monico garcia avanzado apoyar gobierno limitacion aforamiento si incluir inviolabilidad rey rechazar cualquiera medida dejar control democratico monarquia,2018-09-20,0
tamam acusar grupo crear situacion dos espana peor 36,candidato eaj-pnv mocion censuro esperado escuchar intervencion grupo dar replica miercoles segundo dia cita parlamentario abocado fracaso,2023-03-22,0
boluarte apelar socialdemocrata tratar aranar voto cs catalunya,analista consultado publico senalar apenas transferencia voto iniciativo vers per catalunya equo lider popular buscar caladero arrimada trasvase,2020-12-12,0
pedro cura sostener irresponsabilidad renunciar dialogo pactar,presidente psoe defendido entrevista vanguardio decision partido apoyar presupuesto comodo votar irresponsabilidad ceder capacidad negociacion equo,2020-12-13,0
